Chr	Start	End	Cytoband	Gene	RefSeqName
5	129083883.0	129100756.0	q23.3	KIAA1024L	NM_001257308
5	175773063.0	175788810.0	q35.2	KIAA1191	NM_001287336
5	137514416.0	137523404.0	q31.2	KIF20A	NM_005733
5	61601988.0	61683011.0	q12.1	KIF2A	NM_001243953
5	132028318.0	132073270.0	q31.1	KIF3A	NM_001300792
5	154393314.0	154397692.0	q33.2	KIF4B	NM_001099293
5	136953188.0	137071779.0	q31.2	KLHL3	NM_017415
5	154092461.0	154197167.0	q33.2	LARP1	NM_015315
5	145492588.0	145562350.0	q32	LARS	NM_001317964
5	169673236.0	169724846.0	q35.1	LCP2	NM_005565
5	132209357.0	132210582.0	q31.1	LEAP2	NM_052971
5	135282599.0	135290723.0	q31.1	LECT2	NM_002302
5	77781037.0	77944648.0	q14.1	LHFPL2	NM_005779
5	87834083.0	87980642.0	q14.3	LINC00461	NR_015436
5	101944195.0	102007168.0	q21.1	LINC00491	NR_103753
5	101917071.0	101953291.0	q21.1	LINC00492	NR_047462
5	180257956.0	180262726.0	q35.3	LINC00847	NR_027183
5	116751207.0	116915439.0	q23.1	LINC00992	NR_046089
5	108063525.0	108063962.0	q21.3	LINC01023	NR_046368
5	53616773.0	53710955.0	q11.2	LINC01033	NR_126379
5	123395486.0	123774213.0	q23.2	LINC01170	NR_125774
5	127276131.0	127418867.0	q23.3	LINC01184	NR_152813
5	169618650.0	169626145.0	q35.1	LINC01187	NR_108022
5	161337467.0	161428202.0	q34	LINC01202	NR_126372
5	73665200.0	73832801.0	q13.3	LINC01331	NR_126354
5	73618310.0	73624182.0	q13.3	LINC01333	NR_105010
5	73602234.0	73604150.0	q13.3	LINC01335	NR_105009
5	74343543.0	74348468.0	q13.3	LINC01336	NR_126375
5	79904439.0	79918343.0	q14.1	LINC01337	NR_125754
5	82146683.0	82155655.0	q14.2	LINC01338	NR_105016
5	89454155.0	89585888.0	q14.3	LINC01339	NR_120601
5	96840399.0	97006755.0	q15	LINC01340	NR_105028
5	169758396.0	169762104.0	q35.1	LINC01366	NR_026945
5	72750014.0	72768791.0	q13.2	LINC01386	NR_126410
5	173763356.0	173954142.0	q35.2	LINC01411	NR_125806
5	79232401.0	79263449.0	q14.1	LINC01455	NR_131226
5	151998524.0	152351909.0	q33.1	LINC01470	NR_109877
5	173134601.0	173173212.0	q35.2	LINC01484	NR_108027
5	173213792.0	173217945.0	q35.2	LINC01485	NR_108028
5	95187935.0	95195836.0	q15	LINC01554	NR_026936
5	176170205.0	176170922.0	q35.2	LINC01574	NR_108030
5	133842242.0	133844921.0	q31.1	LINC01843	NR_105045
5	142125164.0	142140558.0	q31.3	LINC01844	NR_110558
5	158875563.0	158893284.0	q33.3	LINC01845	NR_027110
5	97421569.0	97496943.0	q15	LINC01846	NR_146477
5	159203781.0	159298391.0	q33.3	LINC01847	NR_109891
5	109218882.0	109220604.0	q21.3	LINC01848	NR_033175
5	153266987.0	153278547.0	q33.2	LINC01861	NR_146729
5	158654722.0	158672135.0	q33.3	LINC01932	NR_134261
5	151338458.0	151650010.0	q33.1	LINC01933	NR_109876
5	173116461.0	173132852.0	q35.2	LINC01942	NR_146727
5	171983727.0	171986017.0	q35.1	LINC01944	NR_146726
5	166332226.0	166353375.0	q34	LINC01947	NR_108020
5	55753621.0	55777596.0	q11.2	LINC01948	NR_104664
5	86511551.0	86535018.0	q14.3	LINC01949	NR_130914
5	106150897.0	106346715.0	q21.3	LINC01950	NR_104671
5	174346084.0	174422734.0	q35.2	LINC01951	NR_046113
5	113911737.0	113915667.0	q22.3	LINC01957	NR_134282
5	134984371.0	134989624.0	q31.1	LINC01959	NR_027127
5	125515269.0	125529543.0	q23.2	LINC02039	NR_105042
5	71869901.0	71956496.0	q13.2	LINC02056	NR_105007
5	60546386.0	60560756.0	q12.1	LINC02057	NR_146624
5	86042634.0	86045589.0	q14.3	LINC02059	NR_105017
5	87704798.0	87734907.0	q14.3	LINC02060	NR_105021
5	98264265.0	98339725.0	q21.1	LINC02062	NR_151718
5	65500950.0	65505274.0	q12.3	LINC02065	NR_146488
5	57403458.0	57418168.0	q11.2	LINC02101	NR_104669
5	53071880.0	53115512.0	q11.2	LINC02105	NR_147167
5	50265050.0	50266021.0	q11.1	LINC02106	NR_104653
5	57837393.0	57854070.0	q11.2	LINC02108	NR_109904
5	98869693.0	98913658.0	q21.1	LINC02113	NR_110562
5	102864134.0	102877686.0	q21.2	LINC02115	NR_104670
5	51303864.0	51339743.0	q11.2	LINC02118	NR_147166
5	163875427.0	163894408.0	q34	LINC02143	NR_105064
5	117066055.0	117601757.0	q23.1	LINC02147	NR_104997
5	117618268.0	117620472.0	q23.1	LINC02148	NR_104609
5	160358785.0	160365633.0	q34	LINC02159	NR_027111
5	70616857.0	70742583.0	q13.2	LINC02197	NR_134269
5	68263567.0	68325754.0	q13.1	LINC02198	NR_130778
5	111964132.0	111966618.0	q22.2	LINC02200	NR_104672
5	121964646.0	122066255.0	q23.2	LINC02201	NR_109881
5	158527490.0	158544486.0	q33.3	LINC02202	NR_109890
5	117686666.0	117897812.0	q23.1	LINC02208	NR_104610
5	116078997.0	116097905.0	q23.1	LINC02214	NR_104678
5	117931882.0	117963787.0	q23.1	LINC02215	NR_104998
5	67485703.0	67494235.0	q13.1	LINC02219	NR_105003
5	180111095.0	180113543.0	q35.3	LINC02222	NR_146728
5	57186157.0	57194989.0	q11.2	LINC02225	NR_109900
5	157747711.0	157836781.0	q33.3	LINC02227	NR_109888
5	65803372.0	65807432.0	q12.3	LINC02229	NR_105001
5	72633732.0	72634590.0	q13.2	LINC02230	NR_146627
5	97176461.0	97259179.0	q15	LINC02234	NR_146299
5	124828953.0	124937920.0	q23.2	LINC02240	NR_109887
5	66928093.0	66942617.0	q13.1	LINC02242	NR_147169
5	86957858.0	86975226.0	q14.3	LINC02488	NR_149089
5	56866168.0	56913254.0	q11.2	LINCR-0003	NR_120607
5	96427573.0	96478520.0	q15	LIX1	NM_153234
5	176758562.0	176778885.0	q35.3	LMAN2	NM_006816
5	126112314.0	126172712.0	q23.2	LMNB1	NR_134488
5	126087654.0	126112178.0	q23.2	LMNB1-DT	NR_134485
5	96271345.0	96365115.0	q15	LNPEP	NM_005575
5	169735704.0	169739720.0	q35.1	LOC100128059	NR_147701
5	177366527.0	177386801.0	q35.3	LOC100128340	NR_149047
5	137667793.0	137672835.0	q31.2	LOC100128966	NR_146628
5	137368462.0	137374622.0	q31.2	LOC100130172	NR_037900
5	99715208.0	99723958.0	q21.1	LOC100133050	NR_027503
5	172381785.0	172386371.0	q35.1	LOC100268168	NR_026682
5	171712600.0	171725380.0	q35.1	LOC100288254	NR_130933
5	98264837.0	98266713.0	q21.1	LOC100289230	NR_036530
5	65240632.0	65241401.0	q12.3	LOC100303749	NR_028474
5	140937877.0	140944827.0	q31.3	LOC100505658	NR_038333
5	121495870.0	121518358.0	q23.2	LOC100505841	NM_001195535
5	175546551.0	175552168.0	q35.2	LOC100507387	NR_038402
5	151149353.0	151151737.0	q33.1	LOC100652758	NR_132345
5	175476680.0	175489058.0	q35.2	LOC100996385	NR_103794
5	179286002.0	179288282.0	q35.3	LOC100996419	NR_134283
5	140425789.0	140457609.0	q31.3	LOC101926905	NR_105056
5	111563979.0	111593006.0	q22.2	LOC101927023	NR_110559
5	113783114.0	114109110.0	q22.3	LOC101927078	NR_130785
5	114937851.0	114956116.0	q22.3	LOC101927100	NR_109874
5	115703112.0	115710267.0	q23.1	LOC101927190	NR_104675
5	121917193.0	121920295.0	q23.2	LOC101927357	NR_134281
5	124372523.0	124703427.0	q23.2	LOC101927421	NR_109882
5	125608209.0	125620867.0	q23.2	LOC101927488	NR_105039
5	166591938.0	166595406.0	q34	LOC101927908	NR_134280
5	168133931.0	168147889.0	q34	LOC101927969	NR_130737
5	172182505.0	172189565.0	q35.1	LOC101928093	NM_001287812
5	179022904.0	179030742.0	q35.3	LOC101928445	NR_110560
5	56946486.0	56966816.0	q11.2	LOC101928505	NR_104668
5	60958984.0	60994259.0	q12.1	LOC101928651	NR_109910
5	67089040.0	67096886.0	q13.1	LOC101928858	NR_130779
5	68773299.0	68781439.0	q13.2	LOC101928924	NR_134279
5	75902435.0	75904794.0	q13.3	LOC101929109	NR_134278
5	77180479.0	77254920.0	q14.1	LOC101929154	NR_105012
5	86415964.0	86543835.0	q14.3	LOC101929380	NR_105018
5	95297704.0	95966789.0	q15	LOC101929710	NR_130776
5	139536903.0	139548370.0	q31.3	LOC101929719	NR_130738
5	53955986.0	54040086.0	q11.2	LOC102467080	NR_104658
5	54317126.0	54319997.0	q11.2	LOC102467081	NR_104662
5	111992124.0	112018585.0	q22.2	LOC102467216	NR_104673
5	114977821.0	115008349.0	q22.3	LOC102467217	NR_104674
5	120658244.0	120661532.0	q23.1	LOC102467226	NR_104999
5	71852903.0	71867569.0	q13.2	LOC102503427	NR_105008
5	133764741.0	133770738.0	q31.1	LOC102546229	NR_105044
5	147647869.0	147763413.0	q32	LOC102546294	NR_105057
5	163897284.0	163969989.0	q34	LOC102546299	NR_105065
5	156789622.0	156887108.0	q33.3	LOC102724404	NR_136204
5	170066161.0	170108474.0	q35.1	LOC105377716	NR_136214
5	179084762.0	179101296.0	q35.3	LOC105377763	NR_134260
5	72427834.0	72446419.0	q13.2	LOC105379030	NR_134252
5	118347497.0	118406585.0	q23.1	LOC105379143	NR_134250
5	122421926.0	122426011.0	q23.2	LOC105379152	NR_146771
5	132014776.0	132018321.0	q31.1	LOC105379176	NR_134248
5	133304379.0	133305914.0	q31.1	LOC105379183	NR_134247
5	136463885.0	136466658.0	q31.2	LOC105379192	NR_134246
5	138080118.0	138089613.0	q31.2	LOC105379194	NR_134244
5	177045500.0	177099278.0	q35.3	LOC202181	NR_026921
5	52405671.0	52410956.0	q11.2	LOC257396	NR_034107
5	173006636.0	173012071.0	q35.2	LOC285593	NR_027108
5	158758525.0	158789842.0	q33.3	LOC285626	NR_037889
5	108572835.0	108662070.0	q21.3	LOC285638	NR_149040
5	72491116.0	72497788.0	q13.2	LOC340090	NR_134291
5	69782327.0	69787614.0	q13.2	LOC441081	NR_073404
5	74161717.0	74163100.0	q13.3	LOC441086	NR_134288
5	75013256.0	75026795.0	q13.3	LOC441087	NR_149046
5	50668570.0	50679166.0	q11.1	LOC642366	NR_046243
5	175570087.0	175626298.0	q35.2	LOC643201	NR_036494
5	86614231.0	86619445.0	q14.3	LOC644285	NR_130929
5	149310926.0	149312540.0	q32	LOC644762	NR_110534
5	79594916.0	79596297.0	q14.1	LOC644936	NR_004845
5	70370029.0	70388897.0	q13.2	LOC647859	NR_026578
5	69140495.0	69293540.0	q13.2	LOC653080	NR_146391
5	168440231.0	168465003.0	q34	LOC728095	NR_109897
5	177302261.0	177311269.0	q35.3	LOC728554	NR_003615
5	141275190.0	141276260.0	q31.3	LOC729080	NR_033244
5	89705816.0	89706486.0	q14.3	LOC731157	NR_105024
5	121398889.0	121414196.0	q23.2	LOX	NM_002317
5	61874561.0	61877275.0	q12.1	LRRC70	NM_181506
5	138205078.0	138211057.0	q31.2	LRRTM2	NM_015564
5	157170702.0	157187717.0	q33.3	LSM11	NM_173491
5	179220985.0	179223513.0	q35.3	LTC4S	NM_145867
5	90598802.0	90610219.0	q14.3	LUCAT1	NR_103548
5	115298150.0	115363299.0	q23.1	LVRN	NM_173800
5	130506606.0	130541119.0	q23.3	LYRM7	NM_181705
5	89811444.0	89825401.0	q14.3	LYSMD3	NM_001286812
5	139482506.0	139487597.0	q31.2	MALINC1	NR_102741
5	179159850.0	179204287.0	q35.3	MAML1	NM_014757
5	109025066.0	109205326.0	q21.3	MAN2A1	NM_002372
5	71403094.0	71505397.0	q13.2	MAP1B	NM_005909
5	56110899.0	56191978.0	q11.2	MAP3K1	NM_005921
5	179660594.0	179719071.0	q35.3	MAPK9	NM_139069
5	126203405.0	126366500.0	q23.2	MARCH3	NM_178450
5	68710938.0	68737890.0	q13.2	MARVELD2	NM_001244734
5	65892175.0	66465423.0	q12.3	MAST4	NM_001164664
5	66297445.0	66299982.0	q12.3	MAST4-AS1	NR_111908
5	162930069.0	162946359.0	q34	MAT2B	NM_182796
5	138609440.0	138667366.0	q31.2	MATR3	NM_001282278
5	89754019.0	89770585.0	q14.3	MBLAC2	NM_203406
5	112357795.0	112824527.0	q22.2	MCC	NM_001085377
5	70883114.0	70954530.0	q13.2	MCCC2	NM_022132
5	54515424.0	54523143.0	q11.2	MCIDAS	NM_001190787
5	94041241.0	94620279.0	q15	MCTP1	NM_024717
5	156565450.0	156569921.0	q33.3	MED7	NM_004270
5	88014057.0	88199922.0	q14.3	MEF2C	NM_001131005
5	88179146.0	88763398.0	q14.3	MEF2C-AS1	NR_136218
5	87972035.0	88018648.0	q14.3	MEF2C-AS2	NR_146284
5	126626455.0	126796910.0	q23.2	MEGF10	NM_001256545
5	131142683.0	131281391.0	q31.1	MEIKIN	NM_001303622
5	153418518.0	153437014.0	q33.2	MFAP3	NM_005927
5	180217540.0	180237137.0	q35.3	MGAT1	NM_001114617
5	179224597.0	179233952.0	q35.3	MGAT4B	NM_014275
5	121772191.0	121814782.0	q23.2	MGC32805	NR_051996
5	56215428.0	56247957.0	q11.2	MIER3	NM_001297599
5	167987900.0	167987978.0	q34	MIR103A1	NR_029520
5	167987908.0	167987970.0	q34	MIR103B1	NR_031721
5	179225277.0	179225346.0	q35.3	MIR1229	NR_031598
5	175794948.0	175795034.0	q35.2	MIR1271	NR_031569
5	132763287.0	132763398.0	q31.1	MIR1289-2	NR_031621
5	153726665.0	153726807.0	q33.2	MIR1294	NR_031626
5	154065335.0	154065421.0	q33.2	MIR1303	NR_031638
5	148808480.0	148808586.0	q32	MIR143	NR_029684
5	148810208.0	148810296.0	q32	MIR145	NR_029686
5	159912358.0	159912457.0	q34	MIR146A	NR_029701
5	168195150.0	168195260.0	q34	MIR218-2	NR_029632
5	92956401.0	92956494.0	q15	MIR2277	NR_031754
5	153975571.0	153975632.0	q33.2	MIR3141	NR_036094
5	159901408.0	159901490.0	q34	MIR3142	NR_036095
5	159895257.0	159914433.0	q34	MIR3142HG	NR_132748
5	179442302.0	179442397.0	q35.3	MIR340	NR_029885
5	140027428.0	140027511.0	q31.3	MIR3655	NR_037428
5	89312437.0	89312537.0	q14.3	MIR3660	NR_037433
5	133561447.0	133561543.0	q31.1	MIR3661	NR_037434
5	149112387.0	149112453.0	q32	MIR378A	NR_029870
5	169455491.0	169455570.0	q35.1	MIR378E	NR_039609
5	154209017.0	154209100.0	q33.2	MIR378H	NR_039667
5	170813659.0	170813764.0	q35.1	MIR3912	NR_037474
5	131701181.0	131701291.0	q31.1	MIR3936	NR_037500
5	131646968.0	131705608.0	q31.1	MIR3936HG	NR_110997
5	82135973.0	82136043.0	q14.2	MIR3977	NR_039773
5	86410695.0	86410771.0	q14.3	MIR4280	NR_036243
5	176056439.0	176056501.0	q35.2	MIR4281	NR_036239
5	128732754.0	128732840.0	q23.3	MIR4460	NR_039665
5	134263728.0	134263802.0	q31.1	MIR4461	NR_039666
5	54466359.0	54466450.0	q11.2	MIR449A	NR_029960
5	54466473.0	54466570.0	q11.2	MIR449B	NR_030387
5	54468089.0	54468181.0	q11.2	MIR449C	NR_031572
5	128433380.0	128433459.0	q23.3	MIR4633	NR_039776
5	174178736.0	174178790.0	q35.2	MIR4634	NR_039777
5	71465293.0	71465367.0	q13.2	MIR4803	NR_039967
5	72174417.0	72174490.0	q13.2	MIR4804	NR_039968
5	172089167.0	172089266.0	q35.1	MIR5003	NR_049799
5	143059424.0	143059536.0	q31.3	MIR5197	NR_049829
5	57825869.0	57825936.0	q11.2	MIR548AE2	NR_039639
5	100152185.0	100152269.0	q21.1	MIR548P	NR_031686
5	54804677.0	54804754.0	q11.2	MIR5687	NR_049869
5	135138673.0	135138764.0	q31.1	MIR5692C1	NR_049867
5	118490331.0	118490411.0	q23.1	MIR5706	NR_049892
5	53247333.0	53247429.0	q11.2	MIR581	NR_030307
5	95414841.0	95414916.0	q15	MIR583	NR_030309
5	168690604.0	168690698.0	q35.1	MIR585	NR_030311
5	150901647.0	150901709.0	q33.1	MIR6499	NR_106752
5	131553541.0	131553611.0	q31.1	MIR6830	NR_106888
5	139943255.0	139943336.0	q31.3	MIR6831	NR_106889
5	172774457.0	172774539.0	q35.1	MIR8056	NR_107023
5	136983260.0	136983338.0	q31.2	MIR874	NR_030588
5	87962670.0	87962757.0	q14.3	MIR9-2	NR_030741
5	52391508.0	52405602.0	q11.2	MOCS2	NM_004531
5	179264265.0	179285840.0	q35.3	MRNIP	NM_016175
5	154320632.0	154348971.0	q33.2	MRPL22	NM_014180
5	71515235.0	71616084.0	q13.2	MRPS27	NM_001286751
5	68513572.0	68525985.0	q13.2	MRPS36	NM_033281
5	79950466.0	80172634.0	q14.1	MSH3	NM_002439
5	174151574.0	174157902.0	q35.2	MSX2	NM_002449
5	54603575.0	54721409.0	q11.2	MTREX	NM_015360
5	79945818.0	79946854.0	q14.1	MTRNR2L2	NM_001190470
5	79272538.0	79287088.0	q14.1	MTX3	NM_001167741
5	176732500.0	176739292.0	q35.3	MXD3	NM_001142935
5	137203544.0	137223540.0	q31.2	MYOT	NM_001135940
5	150040402.0	150058930.0	q33.1	MYOZ3	NM_001122853
5	138723256.0	138725605.0	q31.2	MZB1	NM_016459
5	177540555.0	177553107.0	q35.3	N4BP3	NM_015111
5	70264309.0	70320941.0	q13.2	NAIP	NM_022892
5	85578261.0	85593365.0	q14.3	NBPF22P	NR_003719
5	76008227.0	76008713.0	q13.3	NCRUPAR	NR_028375
5	141488323.0	141534008.0	q31.3	NDFIP1	NM_030571
5	149877339.0	149937773.0	q33.1	NDST1	NM_001301063
5	149855078.0	149865555.0	q33.1	NDST1-AS1	NR_105061
5	140024947.0	140027370.0	q31.3	NDUFA2	NR_033697
5	60240955.0	60448864.0	q12.1	NDUFAF2	NM_174889
5	52856462.0	52979171.0	q11.2	NDUFS4	NR_134475
5	172068268.0	172118533.0	q35.1	NEURL1B	NM_001142651
5	134869971.0	134871639.0	q31.1	NEUROG1	NM_006161
5	177576464.0	177580961.0	q35.3	NHP2	NM_017838
5	156887026.0	156901730.0	q33.3	NIPAL4	NM_001172292
5	172659106.0	172662315.0	q35.1	NKX2-5	NM_004387
5	65018022.0	65125111.0	q12.3	NLN	NM_020726
5	137450860.0	137475132.0	q31.2	NME5	NM_003551
5	151771101.0	151784840.0	q33.1	NMUR2	NM_020167
5	175810939.0	175815928.0	q35.2	NOP16	NM_001291308
5	170814119.0	170837888.0	q35.1	NPM1	NM_001355006
5	137136881.0	137146439.0	q31.2	NPY6R	NR_002713
5	92919042.0	92930315.0	q15	NR2F1	NM_005654
5	92745061.0	92917026.0	q15	NR2F1-AS1	NR_021491
5	142657495.0	142815077.0	q31.3	NR3C1	NM_001018077
5	111064999.0	111312628.0	q22.1	NREP	NM_001142475
5	111248204.0	111353003.0	q22.1	NREP-AS1	NR_046678
5	139226363.0	139422884.0	q31.2	NRG2	NM_004883
5	74062815.0	74072737.0	q13.3	NSA2	NM_001271665
5	176560079.0	176727214.0	q35.3	NSD1	NM_172349
5	173472606.0	173536182.0	q35.2	NSG2	NM_015980
5	162873533.0	162887160.0	q34	NUDCD2	NM_001329991
5	102884555.0	102898502.0	q21.2	NUDT12	NM_001300741
5	68788118.0	68853931.0	q13.2	OCLN	NM_002538
5	180166122.0	180167058.0	q35.3	OR2Y1	NM_001001657
5	76924536.0	76934522.0	q14.1	OTP	NM_032109
5	131528303.0	131563556.0	q31.1	P4HA2	NM_001142598
5	131520568.0	131528498.0	q31.1	P4HA2-AS1	NR_047470
5	138677520.0	138705409.0	q31.2	PAIP2	NM_016480
5	102090486.0	102366808.0	q21.1	PAM	NM_001319943
5	167982627.0	168006614.0	q34	PANK3	NM_024594
5	78908239.0	78984066.0	q14.1	PAPD4	NM_001349549
5	49961732.0	50142356.0	q11.1	PARP8	NM_001178055
5	59783539.0	59843484.0	q12.1	PART1	NR_024617
5	134240809.0	134298336.0	q31.1	PCBD2	NM_032151
5	141232675.0	141257975.0	q31.3	PCDH1	NM_032420
5	141323149.0	141338627.0	q31.3	PCDH12	NM_016580
5	140165720.0	140391929.0	q31.3	PCDHA1	NM_018900
5	140235467.0	140391929.0	q31.3	PCDHA10	NM_018901
5	140247097.0	140391929.0	q31.3	PCDHA11	NM_018902
5	140254886.0	140391929.0	q31.3	PCDHA12	NM_018903
5	140261853.0	140391929.0	q31.3	PCDHA13	NM_018904
5	140174443.0	140391929.0	q31.3	PCDHA2	NM_018905
5	140180782.0	140391929.0	q31.3	PCDHA3	NM_018906
5	140186658.0	140391929.0	q31.3	PCDHA4	NM_018907
5	140201360.0	140391929.0	q31.3	PCDHA5	NM_018908
5	140207506.0	140391929.0	q31.3	PCDHA6	NM_018909
5	140213968.0	140391929.0	q31.3	PCDHA7	NM_018910
5	140220906.0	140391929.0	q31.3	PCDHA8	NM_018911
5	140227356.0	140391929.0	q31.3	PCDHA9	NM_031857
5	140306301.0	140391929.0	q31.3	PCDHAC1	NM_018898
5	140345746.0	140391929.0	q31.3	PCDHAC2	NM_018899
5	140430960.0	140433547.0	q31.3	PCDHB1	NM_013340
5	140571951.0	140575213.0	q31.3	PCDHB10	NM_018930
5	140579347.0	140582618.0	q31.3	PCDHB11	NM_018931
5	140588290.0	140591698.0	q31.3	PCDHB12	NM_018932
5	140593490.0	140596993.0	q31.3	PCDHB13	NM_018933
5	140601897.0	140605860.0	q31.3	PCDHB14	NM_018934
5	140624916.0	140627801.0	q31.3	PCDHB15	NM_018935
5	140561264.0	140565796.0	q31.3	PCDHB16	NM_020957
5	140535579.0	140537990.0	q31.3	PCDHB17P	NR_001280
5	140613904.0	140617101.0	q31.3	PCDHB18P	NR_001281
5	140619688.0	140624312.0	q31.3	PCDHB19P	NR_001282
5	140474190.0	140476964.0	q31.3	PCDHB2	NM_018936
5	140479825.0	140483407.0	q31.3	PCDHB3	NM_018937
5	140501331.0	140505203.0	q31.3	PCDHB4	NM_018938
5	140514787.0	140517709.0	q31.3	PCDHB5	NM_015669
5	140529602.0	140532868.0	q31.3	PCDHB6	NM_001303145
5	140552201.0	140555957.0	q31.3	PCDHB7	NM_018940
5	140557370.0	140560081.0	q31.3	PCDHB8	NM_019120
5	140566700.0	140571111.0	q31.3	PCDHB9	NM_019119
5	140710251.0	140892546.0	q31.3	PCDHGA1	NM_018912
5	140792742.0	140892546.0	q31.3	PCDHGA10	NM_018913
5	140800536.0	140892546.0	q31.3	PCDHGA11	NM_018914
5	140810157.0	140892546.0	q31.3	PCDHGA12	NM_003735
5	140718326.0	140892546.0	q31.3	PCDHGA2	NM_018915
5	140723600.0	140892546.0	q31.3	PCDHGA3	NM_018916
5	140734591.0	140892546.0	q31.3	PCDHGA4	NM_018917
5	140743897.0	140892546.0	q31.3	PCDHGA5	NM_018918
5	140753650.0	140892546.0	q31.3	PCDHGA6	NM_018919
5	140762305.0	140892546.0	q31.3	PCDHGA7	NM_018920
5	140771482.0	140892546.0	q31.3	PCDHGA8	NM_032088
5	140782519.0	140892546.0	q31.3	PCDHGA9	NM_018921
5	140729827.0	140892546.0	q31.3	PCDHGB1	NM_018922
5	140739702.0	140892546.0	q31.3	PCDHGB2	NM_018923
5	140749830.0	140892546.0	q31.3	PCDHGB3	NM_018924
5	140767451.0	140892546.0	q31.3	PCDHGB4	NM_003736
5	140777694.0	140892546.0	q31.3	PCDHGB5	NM_018925
5	140787769.0	140892546.0	q31.3	PCDHGB6	NM_018926
5	140797259.0	140892548.0	q31.3	PCDHGB7	NM_018927
5	140805852.0	140807825.0	q31.3	PCDHGB8P	NR_001297
5	140855568.0	140892544.0	q31.3	PCDHGC3	NM_032403
5	140864740.0	140892546.0	q31.3	PCDHGC4	NM_018928
5	140868807.0	140892546.0	q31.3	PCDHGC5	NM_018929
5	95726039.0	95768985.0	q15	PCSK1	NM_000439
5	148737569.0	148749221.0	q32	PCYOX1L	NM_024028
5	58264865.0	59783925.0	q12.1	PDE4D	NM_001165899
5	149237518.0	149324356.0	q32	PDE6A	NM_000440
5	76476081.0	76724080.0	q13.3	PDE8B	NM_001349750
5	149493401.0	149535422.0	q32	PDGFRB	NM_002609
5	131593350.0	131609147.0	q31.1	PDLIM4	NM_003687
5	176910394.0	176924606.0	q35.3	PDLIM7	NM_005451
5	52083773.0	52098452.0	q11.2	PELO	NM_015946
5	139624634.0	139682689.0	q31.3	PFDN1	NM_002622
5	176827107.0	176827637.0	q35.3	PFN3	NM_001029886
5	114546526.0	114598569.0	q22.3	PGGT1B	NM_005023
5	125936606.0	125962944.0	q23.2	PHAX	NM_032177
5	177635474.0	177659823.0	q35.3	PHYKPL	NM_001278346
5	67511583.0	67597649.0	q13.1	PIK3R1	NM_181523
5	134363423.0	134369964.0	q31.1	PITX1	NM_002653
5	108670409.0	108745675.0	q21.3	PJA2	NM_014819
5	137225124.0	137278434.0	q31.2	PKD2L2	NM_001300921
5	145463875.0	145485128.0	q32	PLAC8L1	NM_001029869
5	57749809.0	57755966.0	q11.2	PLK2	NM_001252226
5	54720669.0	54830906.0	q11.2	PLPP1	NR_103485
5	70671611.0	70681820.0	q13.2	PMCHL2	NR_003922
5	74970023.0	75013313.0	q13.3	POC5	NM_001099271
5	74807574.0	74901644.0	q13.3	POLK	NM_001345922
5	89770680.0	89810369.0	q14.3	POLR3G	NM_006467
5	145718586.0	145720083.0	q32	POU4F3	NM_002700
5	93076014.0	93077309.0	q15	POU5F2	NM_153216
5	149109814.0	149234585.0	q32	PPARGC1B	NM_133263
5	122359077.0	122372425.0	q23.2	PPIC	NM_000943
5	102455951.0	102540612.0	q21.1	PPIP5K2	NM_001345878
5	156277496.0	156279539.0	q33.3	PPP1R2P3	NM_206858
5	133531942.0	133561950.0	q31.1	PPP2CA	NM_002715
5	145969066.0	146461083.0	q32	PPP2R2B	NM_001271900
5	146293769.0	146299069.0	q32	PPP2R2B-IT1	NR_047115
5	64859062.0	64883376.0	q12.3	PPWD1	NM_015342
5	122424797.0	122529960.0	q23.2	PRDM6	NM_001136239
5	176730762.0	176733960.0	q35.3	PRELID1	NM_001271828
5	145135906.0	145214932.0	q32	PRELID2	NM_138492
5	138727634.0	138730885.0	q31.2	PROB1	NM_001161546
5	177419235.0	177423243.0	q35.3	PROP1	NM_006261
5	119799972.0	120023025.0	q23.1	PRR16	NM_001300783
5	176873795.0	176883287.0	q35.3	PRR7	NM_001174101
5	176864889.0	176874945.0	q35.3	PRR7-AS1	NR_038915
5	126853300.0	126890780.0	q23.2	PRRC1	NM_001286808
5	139175405.0	139224052.0	q31.2	PSD2	NM_032289
5	139120931.0	139125808.0	q31.2	PSD2-AS1	NR_105052
5	71616193.0	71655180.0	q13.2	PTCD2	NM_001284405
5	159848813.0	159855751.0	q33.3	PTTG1	NM_004219
5	139493707.0	139499001.0	q31.2	PURA	NM_005859
5	159502884.0	159546452.0	q33.3	PWWP2A	NR_146216
5	176728190.0	176730745.0	q35.3	RAB24	NM_130781
5	57878014.0	58155222.0	q11.2	RAB3C	NM_001317915
5	104435174.0	104435799.0	q21.2	RAB9BP1	NR_000039
5	68665123.0	68710630.0	q13.2	RAD17	NM_133343
5	131892615.0	131980313.0	q31.1	RAD50	NM_005732
5	170288885.0	170727019.0	q35.1	RANBP17	NM_022897
5	130759613.0	130970929.0	q31.1	RAPGEF6	NM_001164387
5	167913462.0	167946309.0	q34	RARS	NM_002887
5	86564069.0	86687743.0	q14.3	RASA1	NM_002890
5	179527794.0	179636130.0	q35.3	RASGEF1C	NM_175062
5	80256507.0	80525981.0	q14.1	RASGRF2	NM_006909
5	80243511.0	80256726.0	q14.1	RASGRF2-AS1	NR_105015
5	150070351.0	150080669.0	q33.1	RBM22	NM_018047
